Date,Close,Volume,mom1,mom3,ROC_15,EMA_20,Oil,Gold,DAAA,AAPL,JNJ,XOM,TE1,DE1,S&P-F,Dollar index-F
2010-01-29,1073.869995,-0.0072536865,-0.0118177412,-0.0042031993,-5.9403121254,1123.15750115,-0.0104591144,-0.0087316176,5.24,-0.0362787508,-0.0147335112,-0.0081588517,3.61,0.96,-0.81,0.7
2010-02-01,1089.189941,-0.2466796604,-0.0098291737,0.0048801522,-4.8725776847,1119.92249542,0.0214138641,0.0074177098,5.3,0.0139018848,0.0036589086,0.0271612603,3.63,0.95,1.47,-0.29
2010-02-02,1103.319946,0.1647852541,0.0142661086,-0.0118177412,-3.8065210171,1118.34130024,0.0376293509,0.0225494708,5.28,0.0058029221,0.0142653669,0.011786023,3.63,0.95,1.01,-0.3
2010-02-03,1097.280029,-0.0977126206,0.0129729485,-0.0098291737,-3.427148175,1116.33546488,-0.0032379225,0.0038253825,5.36,0.0172061472,-0.0056258945,-0.0053763591,3.68,0.95,-0.07,0.47
2010-02-04,1063.109985,0.3673453196,-0.0054743114,0.0142661086,-7.2070792113,1111.26637156,-0.0497661123,-0.0286931181,5.27,-0.0360387047,-0.0155587299,-0.028228184,3.58,0.97,-3.17,0.67
2010-02-05,1066.189941,0.098846526,-0.0311406779,0.0129729485,-7.163507897,1106.97337817,-0.0270750718,-0.0233094853,5.24,0.0177557611,0.0,0.0012361248,3.56,0.97,-0.19,0.64
2010-02-08,1056.73999,-0.3648262902,0.0028971189,-0.0054743114,-6.9795724564,1102.18924597,0.0101194659,0.0056710775,5.27,-0.006855638,-0.0043103449,-0.0069445213,3.59,0.99,-0.35,-0.19
2010-02-09,1070.52002,0.2504853514,-0.0088632903,-0.0311406779,-6.9299150071,1099.17312921,0.025601781,0.0068139098,5.32,0.0106635331,0.0062529903,0.0132089981,3.62,1.0,0.97,-0.56
2010-02-10,1068.130005,-0.1687067142,0.013040133,0.0028971189,-6.1430205972,1096.21664119,0.0104463438,-0.0016336056,5.39,-0.0054538559,-0.0004779796,-0.0053680831,3.66,0.99,-0.28,0.19
2010-02-11,1078.469971,0.0351456562,-0.0022325738,-0.0088632903,-3.4044505661,1094.52648212,0.0100698174,0.0063113604,5.43,0.0181938645,0.0028694405,0.0060138784,3.68,1.0,1.26,-0.05
